24/06/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Cook express,"10,5%",3/01/2026,Factura A,78213,"$126.745,90","$13.308,32","$113.437,58",  60 ,4/03/2026,11/02/2026,"$126.745,90","$0,00",PAGADO,Transferencia,,CMV
Hielo Rosario,,3/01/2026,Remito,15359,"$72.000,00","$0,00","$72.000,00",  -   ,3/01/2026,3/01/2026,"$72.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Stock Mercadería Local,,3/01/2026,Ticket CF,72066,"$6.900,00","$0,00","$6.900,00",  -   ,3/01/2026,3/01/2026,"$6.900,00","$0,00",PAGADO,Efectivo Local,rucula,CMV
Gastos Varios - Descartables y Limpieza,,4/01/2026,Ticket CF,3647,"$12.000,00","$0,00","$12.000,00",  -   ,4/01/2026,4/01/2026,"$12.000,00","$0,00",PAGADO,Efectivo Local,RAID,"Limpieza, Descartables y Bazar"
Hielo Rosario,,4/01/2026,Remito,19307,"$54.000,00","$0,00","$54.000,00",  -   ,4/01/2026,4/01/2026,"$54.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Cotar,"21,0%",4/01/2026,Remito,11391,"$26.000,00","$0,00","$26.000,00",  -   ,4/01/2026,4/01/2026,"$26.000,00","$0,00",PAGADO,Efectivo Local,crema de leche,CMV
Gastos Varios - Mantenimiento Local,,5/01/2026,Sin comprobante,,"$50.000,00","$0,00","$50.000,00",  -   ,5/01/2026,5/01/2026,"$50.000,00","$0,00",PAGADO,Efectivo Local,fumigacion,Mantenimiento
Safyta,,6/01/2026,Remito,202,"$24.600,00","$0,00","$24.600,00",  -   ,6/01/2026,6/01/2025,"$24.600,00","$0,00",PAGADO,Efectivo Local,,CMV
CCU,"21,0%",6/01/2026,Factura A,6699,"$233.298,93","$48.992,78","$184.306,15",  -   ,6/01/2026,6/01/2026,"$233.298,93","$0,00",PAGADO,Mercado Pago,,CMV
La Distribuidora,"18,9%",6/01/2026,Factura A,7633,"$219.620,44","$41.508,26","$178.112,18",  15 ,21/01/2026,26/01/2026,"$219.620,44","$0,00",PAGADO,Posnet Proveedor,,CMV
Cook express,"10,5%",6/01/2026,Factura A,78399,"$115.267,00","$12.103,04","$103.163,97",  60 ,7/03/2026,11/02/2026,"$115.267,00","$0,00",PAGADO,Transferencia,,CMV
Cotar,"21,0%",8/01/2026,Remito,11397,"$12.000,00","$0,00","$12.000,00",  -   ,8/01/2026,8/01/2026,"$12.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Cook express,"10,5%",8/01/2026,Factura A,78510,"$58.619,50","$6.155,05","$52.464,45",  60 ,9/03/2026,11/02/2026,"$58.619,50","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Art. de Librería e imprenta,,8/01/2026,Factura C,8977,"$8.550,00","$0,00","$8.550,00",  -   ,8/01/2026,8/01/2026,"$8.550,00","$0,00",PAGADO,Efectivo Local,"FOLIOS, LAPICERAS Y CINTA",Artículos de librería / Impresiones
Gastos Varios - Mantenimiento Local,,8/01/2026,Sin comprobante,,"$9.000,00","$0,00","$9.000,00",  -   ,8/01/2026,8/01/2026,"$9.000,00","$0,00",PAGADO,Efectivo Local,COPIAS LLAVE COMPLEJO,Mantenimiento
Over Clean,,9/01/2026,Remito,46942,"$132.192,66","$0,00","$132.192,66",  7 ,16/01/2026,15/01/2026,"$132.192,66","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Vines & Co.,"21,0%",9/01/2026,Factura A,24047,"$571.126,27","$119.936,52","$451.189,75",  21 ,30/01/2026,26/01/2026,"$571.126,27","$0,00",PAGADO,Posnet Proveedor,"209235,19 el 26/01",CMV
Carnicerías Integradas,"12,6%",9/01/2026,Factura A,64805,"$97.500,00","$12.285,00","$85.215,00",  10 ,19/01/2026,21/01/2026,"$97.500,00","$0,00",PAGADO,Transferencia,,CMV
La Distribuidora,"18,9%",9/01/2026,Factura A,7634,"$160.961,05","$30.421,64","$130.539,41",  15 ,24/01/2026,26/01/2026,"$160.961,05","$0,00",PAGADO,Posnet Proveedor,,CMV
Distribuidora ALCORTA,"21,0%",9/01/2026,Factura A,23307,"$38.999,46","$8.189,89","$30.809,57",  14 ,23/01/2026,9/01/2026,"$38.999,46","$0,00",PAGADO,Efectivo Local,,CMV
CEPRO,"18,9%",9/01/2026,Factura A,223649,"$127.504,48","$24.098,35","$103.406,13",  15 ,24/01/2026,21/01/2026,"$127.504,48","$0,00",PAGADO,Transferencia,,CMV
Embotelladora del Atlantico (Coca Cola),"21,0%",9/01/2026,Factura A,1613265,"$85.930,96","$18.045,50","$67.885,46",  -   ,9/01/2026,9/01/2026,"$85.930,96","$0,00",PAGADO,Efectivo Local,,CMV
Nueve Seis Nueve,,9/01/2026,Remito,70841,"$20.099,98","$0,00","$20.099,98",  -   ,9/01/2026,9/01/2026,"$20.099,98","$0,00",PAGADO,Efectivo Local,,CMV
CCU,"21,0%",9/01/2026,Factura A,1048635,"$161.145,78","$33.840,61","$127.305,17",  -   ,9/01/2026,9/01/2026,"$161.145,78","$0,00",PAGADO,Mercado Pago,,CMV
CCU,"21,0%",9/01/2026,Factura A,1048636,"$23.129,36","$4.857,17","$18.272,19",  -   ,9/01/2026,9/01/2026,"$23.129,36","$0,00",PAGADO,Mercado Pago,,CMV
Hielo Rosario,,9/01/2026,Remito,7914,"$64.000,00","$0,00","$64.000,00",  -   ,9/01/2026,9/01/2026,"$64.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gin La Salvaje,,9/01/2026,Remito,978786,"$84.000,00","$0,00","$84.000,00",  -   ,9/01/2026,9/01/2026,"$84.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Cook express,"10,5%",9/01/2026,Factura A,78583,"$284.085,00","$29.828,93","$254.256,08",  60 ,10/03/2026,11/02/2026,"$284.085,00","$0,00",PAGADO,Transferencia,,CMV
Hielo Rosario,,10/01/2026,Remito,7921,"$48.000,00","$0,00","$48.000,00",  -   ,10/01/2026,10/01/2026,"$48.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Stock Mercadería Local,,10/01/2026,Ticket CF,118199,"$2.949,75","$0,00","$2.949,75",  -   ,10/01/2026,10/01/2026,"$2.949,75","$0,00",PAGADO,Efectivo Local,AJO Y CEBOLLA EN POLVO,CMV
Gastos Varios - Otros,,10/01/2026,Sin comprobante,,"$3.500,00","$0,00","$3.500,00",  -   ,10/01/2026,10/01/2026,"$3.500,00","$0,00",PAGADO,Efectivo Local,ESMALTE PARA ROTULAR,Gastos Varios
Gastos Varios - Mantenimiento Local,,11/01/2026,Ticket CF,186,"$4.709,00","$0,00","$4.709,00",  -   ,11/01/2026,11/01/2026,"$4.709,00","$0,00",PAGADO,Efectivo Local,TOMATE,Mantenimiento
Cotar,"21,0%",11/01/2026,Remito,11160,"$12.000,00","$0,00","$12.000,00",  -   ,11/01/2026,11/01/2026,"$12.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Hielo Rosario,,11/01/2026,Remito,23002,"$64.000,00","$0,00","$64.000,00",  -   ,11/01/2026,11/01/2026,"$64.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Papelera Suipacha,"21,0%",12/01/2026,Factura A,77612,"$6.750,00","$1.417,50","$5.332,50",  -   ,12/01/2026,12/01/2026,"$6.750,00","$0,00",PAGADO,Efectivo Local,bolsitas para fracionar,"Limpieza, Descartables y Bazar"
Cook express,"10,5%",12/01/2026,Factura A,78704,"$59.016,50","$6.196,73","$52.819,77",  60 ,13/03/2026,11/02/2026,"$59.016,50","$0,00",PAGADO,Transferencia,,CMV
Safyta,,13/01/2026,Remito,5357,"$32.800,00","$0,00","$32.800,00",  -   ,13/01/2026,31/01/2026,"$32.800,00","$0,00",PAGADO,Efectivo Local,,CMV
CCU,"21,0%",13/01/2026,Factura A,1050869,"$12.379,07","$2.599,60","$9.779,47",  -   ,13/01/2026,13/01/2026,"$12.379,07","$0,00",PAGADO,,,CMV
CCU,"21,0%",13/01/2026,Factura A,1050870,"$687.558,22","$144.387,23","$543.170,99",  -   ,13/01/2026,13/01/2026,"$687.558,22","$0,00",PAGADO,,,CMV
Nueve Seis Nueve,,13/01/2026,Remito,71026,"$20.099,98","$0,00","$20.099,98",  -   ,13/01/2026,13/01/2026,"$20.099,98","$0,00",PAGADO,Efectivo Local,,CMV
Congelados Ros,"21,0%",13/01/2026,Factura A,2750,"$39.000,00","$8.190,00","$30.810,00",  7 ,20/01/2026,21/01/2026,"$39.000,00","$0,00",PAGADO,Transferencia,,CMV
La Distribuidora,"18,9%",13/01/2026,Factura A,7635,"$96.008,83","$18.145,67","$77.863,16",  15 ,28/01/2026,12/02/2026,"$96.008,83","$0,00",PAGADO,Posnet Proveedor,"6454,07 el 12/02",CMV
CEPRO,"18,9%",13/01/2026,Factura A,224045,"$53.269,88","$10.068,01","$43.201,87",  15 ,28/01/2026,21/01/2026,"$53.269,88","$0,00",PAGADO,Transferencia,,CMV
Noblex,"21,0%",13/01/2026,Remito,,"$10.836,00","$0,00","$10.836,00",  30 ,12/02/2026,15/02/2026,"$10.836,00","$0,00",PAGADO,,,"Limpieza, Descartables y Bazar"
Vines & Co.,"21,0%",13/01/2026,Factura A,24079,"$404.360,19","$84.915,64","$319.444,55",  21 ,3/02/2026,9/02/2026,"$404.360,19","$0,00",PAGADO,Posnet Proveedor,,CMV
Panificación Ceres,,13/01/2026,Remito,2625,"$13.200,00","$0,00","$13.200,00",  -   ,13/01/2026,13/01/2026,"$13.200,00","$0,00",PAGADO,Efectivo Local,,CMV
Tato Growler (Pintas),"21,0%",14/01/2026,Sin comprobante,,"$102.960,00","$0,00","$102.960,00",  -   ,14/01/2026,14/01/2026,"$102.960,00","$0,00",PAGADO,Transferencia,2 cajas de pitnas,"Limpieza, Descartables y Bazar"
Cabrales,"21,0%",14/01/2026,Factura A,98947,"$261.258,02","$54.864,18","$206.393,84",  30 ,13/02/2026,19/02/2026,"$261.258,02","$0,00",PAGADO,Transferencia,,CMV
Cook express,"10,5%",14/01/2026,Factura A,78835,"$85.710,00","$8.999,55","$76.710,45",  60 ,15/03/2026,11/02/2026,"$85.710,00","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Stock Mercadería Local,,14/01/2026,Sin comprobante,0,"$1.600,00","$0,00","$1.600,00",  -   ,14/01/2026,14/01/2026,"$1.600,00","$0,00",PAGADO,Efectivo Local,polenta ,CMV
Gastos Varios - Mantenimiento Local,,14/01/2026,Remito,152840,"$16.000,00","$0,00","$16.000,00",  -   ,14/01/2026,14/01/2026,"$16.000,00","$0,00",PAGADO,Efectivo Local,rejillas y toma de luz,Mantenimiento
Hielo Rosario,,15/01/2026,Remito,24194,"$72.000,00","$0,00","$72.000,00",  -   ,15/01/2026,15/01/2026,"$72.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Cotar,"21,0%",15/01/2026,Remito,11166,"$12.000,00","$0,00","$12.000,00",  -   ,15/01/2026,15/01/2026,"$12.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Cook express,"10,5%",15/01/2026,Factura A,78888,"$49.116,00","$5.157,18","$43.958,82",  60 ,16/03/2026,20/02/2026,"$49.116,00","$0,00",PAGADO,Transferencia,,CMV
Agustín Ariel Pujol,"10,5%",16/01/2026,Remito,749388,"$28.000,00","$0,00","$28.000,00",  30 ,15/02/2026,19/06/2026,"$28.000,00","$0,00",PAGADO,Transferencia,,CMV
Hielo Rosario,,16/01/2026,Remito,24282,"$16.000,00","$0,00","$16.000,00",  -   ,16/01/2026,16/01/2026,"$16.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Nueve Seis Nueve,,16/01/2026,Remito,71212,"$30.149,98","$0,00","$30.149,98",  -   ,16/01/2026,16/01/2026,"$30.149,98","$0,00",PAGADO,Efectivo Local,,CMV
CCU,"21,0%",16/01/2026,Factura A,1053385,"$220.448,14","$46.294,11","$174.154,03",  -   ,16/01/2026,16/01/2026,"$220.448,14","$0,00",PAGADO,Mercado Pago,,CMV
Embotelladora del Atlantico (Coca Cola),"21,0%",16/01/2026,Factura A,1619118,"$170.016,95","$35.703,56","$134.313,39",  -   ,16/01/2026,16/01/2026,"$170.016,95","$0,00",PAGADO,Efectivo Local,,CMV
Carnicerías Integradas,"12,6%",16/01/2026,Factura A,65020,"$181.100,00","$22.818,60","$158.281,40",  10 ,26/01/2026,28/01/2026,"$181.100,00","$0,00",PAGADO,Transferencia,,CMV
Over Clean,,16/01/2026,Remito,47065,"$96.658,22","$0,00","$96.658,22",  7 ,23/01/2026,21/01/2026,"$96.658,22","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
La Distribuidora,"18,9%",16/01/2026,Factura A,7728,"$315.076,59","$59.549,48","$255.527,11",  15 ,31/01/2026,12/02/2026,"$315.076,59","$0,00",PAGADO,Posnet Proveedor,,CMV
Cook express,"10,5%",16/01/2026,Factura A,78952,"$155.924,00","$16.372,02","$139.551,98",  60 ,17/03/2026,20/02/2026,"$155.924,00","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Stock Mercadería Local,,16/01/2026,Sin comprobante,,"$1.600,00","$0,00","$1.600,00",  -   ,16/01/2026,16/01/2026,"$1.600,00","$0,00",PAGADO,Efectivo Local,POLENTA,CMV
Hielo Rosario,,17/01/2026,Remito,24289,"$80.000,00","$0,00","$80.000,00",  -   ,17/01/2026,17/01/2026,"$80.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Descartables y Limpieza,,17/01/2026,Ticket CF,16800,"$14.000,00","$0,00","$14.000,00",  -   ,17/01/2026,17/01/2026,"$14.000,00","$0,00",PAGADO,Efectivo Local,bandejitas para mix vermutero,"Limpieza, Descartables y Bazar"
Gastos Varios - Stock Mercadería Local,,18/01/2026,Ticket CF,43233,"$11.115,00","$0,00","$11.115,00",  -   ,18/01/2026,18/01/2026,"$11.115,00","$0,00",PAGADO,Efectivo Local,ACEITE ,CMV
Gastos Varios - Stock Mercadería Local,,18/01/2026,Ticket CF,72369,"$3.900,00","$0,00","$3.900,00",  -   ,18/01/2026,18/01/2026,"$3.900,00","$0,00",PAGADO,Efectivo Local,PIMIENTOS,CMV
Hielo Rosario,,18/01/2026,Remito,23039,"$56.000,00","$0,00","$56.000,00",  -   ,18/01/2026,18/01/2026,"$56.000,00","$0,00",PAGADO,Efectivo Local,,CMV
CCU,"21,0%",19/10/2026,Factura A,1056273,"$1.299.131,63","$272.817,64","$1.026.313,99",  -   ,19/10/2026,19/10/2026,"$1.299.131,63","$0,00",PAGADO,,,CMV
CCU,"21,0%",19/10/2026,Factura A,1056274,"$10.841,89","$2.276,80","$8.565,09",  -   ,19/10/2026,19/10/2026,"$10.841,89","$0,00",PAGADO,,,CMV
La Distribuidora,"18,9%",20/01/2026,Factura A,7729,"$214.546,42","$40.549,27","$173.997,15",  15 ,4/02/2026,12/02/2026,"$214.546,42","$0,00",PAGADO,Posnet Proveedor,,CMV
Carnicerías Integradas,"12,6%",19/01/2026,Factura A,65098,"$67.500,00","$8.505,00","$58.995,00",  10 ,29/01/2026,28/01/2026,"$67.500,00","$0,00",PAGADO,Transferencia,,CMV
Cook express,"10,5%",19/02/2026,Factura A,79143,"$151.186,00","$15.874,53","$135.311,47",  60 ,20/04/2026,25/02/2026,"$151.186,00","$0,00",PAGADO,Transferencia,,CMV
Vines & Co.,"21,0%",20/01/2026,Factura A,24202,"$837.027,05","$175.775,68","$661.251,37",  21 ,10/02/2026,18/02/2026,"$837.027,05","$0,00",PAGADO,Posnet Proveedor,"128520,43 el 18/02",CMV
Gastos Varios - Otros,,21/01/2026,Sin comprobante,,"$4.000,00","$0,00","$4.000,00",  -   ,21/01/2026,21/01/2026,"$4.000,00","$0,00",PAGADO,Efectivo Local,CARGA CELULAR PARA QUE NO ROBEN EL NUMERO,Gastos Varios
Over Clean,,22/01/2026,Remito,47153,"$148.619,44","$0,00","$148.619,44",  7 ,29/01/2026,27/01/2026,"$148.619,44","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Cotar,"21,0%",22/01/2026,Remito,11183,"$12.000,00","$0,00","$12.000,00",  -   ,22/01/2026,21/01/2026,"$12.000,00","$0,00",PAGADO,Efectivo Local,leche,CMV
Hielo Rosario,,23/01/2026,Remito,25226,"$72.000,00","$0,00","$72.000,00",  -   ,23/01/2026,22/01/2026,"$72.000,00","$0,00",PAGADO,Efectivo Local,,CMV
CCU,"21,0%",23/01/2026,Factura A,1058518,"$10.841,89","$2.276,80","$8.565,09",  -   ,23/01/2026,23/01,"$10.841,89","$0,00",PAGADO,Mercado Pago,,CMV
CCU,"21,0%",23/01/2026,Factura A,1058519,"$298.358,76","$62.655,34","$235.703,42",  -   ,23/01/2026,23/01,"$298.358,76","$0,00",PAGADO,Mercado Pago,,CMV
Nueve Seis Nueve,,23/01/2026,Remito,71605,"$20.099,98","$0,00","$20.099,98",  -   ,23/01/2026,22/01/2026,"$20.099,98","$0,00",PAGADO,Efectivo Local,,CMV
Congelados Ros,"21,0%",23/01/2026,Factura A,2854,"$89.000,00","$18.690,00","$70.310,00",  7 ,30/01/2026,13/02/2026,"$89.000,00","$0,00",PAGADO,Transferencia,,CMV
La Distribuidora,"18,9%",23/01/2026,Factura A,7730,"$165.822,84","$31.340,52","$134.482,32",  15 ,7/02/2026,12/02/2026,"$165.822,84","$0,00",PAGADO,Posnet Proveedor,,CMV
Distribuidora ALCORTA,"21,0%",23/01/2026,Factura A,23456,"$131.696,13","$27.656,19","$104.039,94",  14 ,6/02/2026,22/01/2026,"$131.696,13","$0,00",PAGADO,,,CMV
Cook express,"10,5%",23/01/2026,Factura A,79322,"$119.110,00","$12.506,55","$106.603,45",  60 ,24/03/2026,25/02/2026,"$119.110,00","$0,00",PAGADO,Transferencia,,CMV
Embotelladora del Atlantico (Coca Cola),"21,0%",23/01/2026,Factura A,1624439,"$180.047,80","$37.810,04","$142.237,76",  -   ,23/01/2026,23/01/2026,"$180.047,80","$0,00",PAGADO,Efectivo Local,,CMV
Cook express,"10,5%",24/01/2026,Factura A,79361,"$39.857,00","$4.184,99","$35.672,02",  60 ,25/03/2026,25/02/2026,"$39.857,00","$0,00",PAGADO,Transferencia,,CMV
Hielo Rosario,,24/01/2026,Remito,25558,"$57.000,00","$0,00","$57.000,00",  -   ,24/01/2026,24/01/2026,"$57.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Mantenimiento Local,,24/01/2026,Sin comprobante,,"$375.000,00","$0,00","$375.000,00",  -   ,24/01/2026,24/01/2026,"$375.000,00","$0,00",PAGADO,Efectivo Local,pintura pared techo,Mantenimiento
Gastos Varios - Stock Mercadería Local,,25/01/2026,Sin comprobante,,"$4.100,00","$0,00","$4.100,00",  -   ,25/01/2026,25/01/2026,"$4.100,00","$0,00",PAGADO,Efectivo Local,pan hamburguesa,CMV
Gastos Varios - Propinas,,26/01/2026,Sin comprobante,,"$25.000,00","$0,00","$25.000,00",  -   ,26/01/2026,26/01/2026,"$25.000,00","$0,00",PAGADO,Efectivo Local,propina semanal mp,Gastos Personal
Cook express,"10,5%",26/01/2026,Factura A,79447,"$61.874,00","$6.496,77","$55.377,23",  60 ,27/03/2026,25/02/2026,"$61.874,00","$0,00",PAGADO,Transferencia,,CMV
Vines & Co.,"21,0%",27/01/2026,Factura A,24305,"$660.993,73","$138.808,68","$522.185,05",  21 ,17/02/2026,18/02/2026,"$660.993,73","$0,00",PAGADO,Posnet Proveedor,"393571,16 transferencia el 18/02 y 267422,57 por posnet proveedor el 18/02",CMV
CCU,"21,0%",27/01/2026,Factura A,1061074,"$1.077.308,02","$226.234,68","$851.073,34",  -   ,27/01/2026,27/01/2026,"$1.077.308,02","$0,00",PAGADO,,,CMV
CCU,"21,0%",27/01/2026,Factura A,1061073,"$22.447,25","$4.713,92","$17.733,33",  -   ,27/01/2026,27/01/2026,"$22.447,25","$0,00",PAGADO,,,CMV
Carnicerías Integradas,"12,6%",27/01/2026,Factura A,65286,"$163.900,00","$20.651,40","$143.248,60",  10 ,6/02/2026,13/02/2026,"$163.900,00","$0,00",PAGADO,Transferencia,,CMV
La Distribuidora,"18,9%",27/01/2026,Factura A,7731,"$46.697,74","$8.825,87","$37.871,87",  15 ,11/02/2026,12/02/2026,"$46.697,74","$0,00",PAGADO,Posnet Proveedor,,CMV
CEPRO,"18,9%",27/01/2026,Factura A,225893,"$148.956,52","$28.152,78","$120.803,74",  15 ,11/02/2026,5/02/2026,"$148.956,52","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Mantenimiento Local,,27/01/2026,Remito,,"$70.000,00","$0,00","$70.000,00",  -   ,27/01/2026,27/01/2026,"$70.000,00","$0,00",PAGADO,Efectivo Local,service maquina fiambre,Mantenimiento
Hielo Rosario,,27/01/2026,Remito,25596,"$72.000,00","$0,00","$72.000,00",  -   ,27/01/2026,27/01/2026,"$72.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Mantenimiento Local,,27/01/2026,Sin comprobante,,"$40.000,00","$0,00","$40.000,00",  -   ,27/01/2026,27/01/2026,"$40.000,00","$0,00",PAGADO,Efectivo Local,,Mantenimiento
Cook express,"10,5%",28/01/2026,Factura A,79567,"$83.438,30","$8.761,02","$74.677,28",  60 ,29/03/2026,25/02/2026,"$83.438,30","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Mantenimiento Local,,29/01/2026,Sin comprobante,,"$195.000,00","$0,00","$195.000,00",  -   ,29/01/2026,29/01/2026,"$195.000,00","$0,00",PAGADO,Efectivo Local,colocacion luces LED,Mantenimiento
Hielo Rosario,,29/01/2026,Remito,25729,"$40.000,00","$0,00","$40.000,00",  -   ,29/01/2026,29/01/2026,"$40.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Panificación Ceres,,30/01/2026,Remito,492246,"$24.500,00","$0,00","$24.500,00",  -   ,30/01/2026,30/01/2026,"$24.500,00","$0,00",PAGADO,Efectivo Local,,CMV
Safyta,,30/01/2026,Remito,5810,"$16.400,00","$0,00","$16.400,00",  -   ,30/01/2026,30/01/2026,"$16.400,00","$0,00",PAGADO,Efectivo Local,,CMV
Hielo Rosario,,30/01/2026,Remito,25736,"$24.000,00","$0,00","$24.000,00",  -   ,30/01/2026,30/01/2026,"$24.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Embotelladora del Atlantico (Coca Cola),"21,0%",30/01/2026,Factura A,1631053,"$157.699,00","$33.116,79","$124.582,21",  -   ,30/01/2026,30/01/2026,"$157.699,00","$0,00",PAGADO,Efectivo Local,,CMV
Over Clean,,30/01/2026,Remito,47283,"$63.663,00","$0,00","$63.663,00",  7 ,6/02/2026,4/02/2026,"$63.663,00","$0,00",PAGADO,Transferencia,,"Limpieza, Descartables y Bazar"
Cook express,"10,5%",30/01/2026,Factura A,80332,"$143.239,00","$15.040,10","$128.198,91",  60 ,31/03/2026,25/02/2026,"$143.239,00","$0,00",PAGADO,Transferencia,,CMV
Nueve Seis Nueve,,30/01/2026,Sin comprobante,,"$25.000,00","$0,00","$25.000,00",  -   ,30/01/2026,30/01/2026,"$25.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gin La Salvaje,,30/01/2026,,,"$93.000,00",,"$93.000,00",  -   ,30/01/2026,13/02/2026,"$93.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Stock Mercadería Local,,31/01/2026,Remito,44373,"$13.870,01","$0,00","$13.870,01",  -   ,31/01/2026,31/01/2026,"$13.870,01","$0,00",PAGADO,Efectivo Local,PAN HAMBURGUEESA,CMV
Gastos Varios - Descartables y Limpieza,,31/01/2026,Remito,4034,"$3.000,00","$0,00","$3.000,00",  -   ,31/01/2026,31/01/2026,"$3.000,00","$0,00",PAGADO,Efectivo Local,2 ESPONJITAS,"Limpieza, Descartables y Bazar"
Hielo Rosario,,31/01/2026,Remito,25747,"$48.000,00","$0,00","$48.000,00",  -   ,31/01/2026,31/01/2026,"$48.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Cotar,"21,0%",1/02/2026,Remito,10858,"$12.000,00","$0,00","$12.000,00",  -   ,1/02/2026,1/02/2026,"$12.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Agustín Ariel Pujol,"10,5%",30/01/2026,Remito,751858,"$28.000,00","$0,00","$28.000,00",  30 ,1/03/2026,19/06/2026,"$28.000,00","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Propinas,,2/02/2026,Sin comprobante,,"$21.600,00","$0,00","$21.600,00",  -   ,2/02/2026,2/02/2026,"$21.600,00","$0,00",PAGADO,Efectivo Local,propina semanal,Gastos Personal
